id	url	候補（多い順）	採用案
shin-ei	http://www.shin-ei-sangyou.co.jp	#663300(12)／#596377(4)／#000080(4)／#ff9900(2)／#ff0000(2)	#663300
yamanaka-denki	http://www.ric.hi-ho.ne.jp/yamanakadenki/	#728aa7(185)／#1291ba(11)／#4171c0(6)／#ec7dcb(2)／#cc6600(2)	#637790
nakakoma	http://www.nakakoma.co.jp/index.html	#8cb3d9(4)／#ff0000(2)／#0000cc(2)／#523d03(1)／#014284(1)	#5b748c
shimizukako	http://shimizukako.com	#0000ff(6)／#ccb100(3)／#ff0000(2)／#a89200(2)／#706100(1)	#0000ff
ymcomp	http://www.ymcomp.net/index.html	#0099cc(7)／#ff9900(2)／#0099ff(1)	#007ba4
reliable	https://www.reliable-corp.jp	#66cc33(1)	#428421
ek-kinzoku	https://www.ek-kinzoku.jp/index.html	-	-
setta	http://setta.co.jp	#001d5f(10)／#e95313(4)／#ff0000(3)／#ffa500(1)／#e95413(1)	#001d5f
ogawakagu	http://www.ogawakagu.com/index.html	-	-
fdo-san	https://www.fdo-san.co.jp/index.html	#66669a(7)／#880000(4)／#840000(3)／#cc6600(2)／#5862b6(1)	#66669a
