group	site	trade
A	fdo-san	house
A	bestroof	roof
A	nikoniko-zoen	garden
A	chukyo-sports	sports
A	ichikawa-mokko	wood
A	hoowaa	setsubi
A	asahi-homes	house
A	kurachi	wood
A	asada-denki	electric
A	dai6	concrete
A	yamashita-reiki	setsubi
A	kankyo-enesystem	solar
A	sousekkei	house
A	aotec	solar
A	kg-koketsu	metal
A	fujimoto-kogei	wood
B	itochu-tosou	
B	igawa-kk	
B	takeuchi-yokuso	
B	naito-koumuten	
B	ito-kikinzoku	
B	amemiya-kensetsu	
B	brightsign	
B	suzupro	
B	jpms	
B	artic-homes	
B	yak-k	
B	kuniedatoso	
B	hasegawa-koumuten	
B	suzuki-bankin	
B	tatsukenhome	
